file,id_html,nama_produk_html,img_di_html,status_file_vs_html,format,ukuran,sha256,revisi_klaim
mum36.webp,36,Blocking Buffer,mum36.webp,OK,WEBP,1536x864,edc6691db585cd7bb9e6d04041b2913937f9e920c17b044ee68539c5fc4e43b1,TIDAK
mum37.webp,37,TBS Buffer,mum37.webp,OK,WEBP,1536x864,40ba5df640c89c36f27a7c4e7893b81e53340c672493626655b58ed58ea8ea7a,TIDAK
mum38.webp,38,TMB Substrate,mum38.webp,OK,WEBP,1536x864,252d17839d15408a9f6bf7fb70c8d6cdc12c50eeb6a9309396bc568c8f332868,TIDAK
mum39.webp,39,DAB Substrate,mum39.webp,OK,WEBP,1536x864,4d25c39e73e3719db5bbb2dbb13ff47fd7dead787fe43e9f3d86fec2d9174e49,TIDAK
mum40.webp,40,ECL Reagent,mum40.webp,OK,WEBP,1536x864,00b3c26a8f545eda590f3c2c913e6a6b898ad0a788032aefee856188085fb927,TIDAK
mum41.webp,41,Mounting Medium,mum41.webp,OK,WEBP,1536x864,71f89e05a1320dade3b65942bcb82f4d2a984223b3b02790f9e9aea3363939ba,TIDAK
mum42.webp,42,Culture Medium,mum42.webp,OK,WEBP,1536x864,55ad16dddfe7de159055867cf40e9f217f31772e5c9aeaa963f6129975f47a54,TIDAK
mum43.webp,43,Trypsin-EDTA,mum43.webp,OK,WEBP,1536x864,eb725691694c0065a9a8fe9c71aff7143dd20593843f566bdda33619d9fb3e78,TIDAK
mum44.webp,44,Serum FBS,mum44.webp,OK,WEBP,1536x864,9124a0acb0c099a05b050275e63c6f23124b8dd26608c6f42129eb5b21b1fe36,YA
mum45.webp,45,Antibiotic Solution,mum45.webp,OK,WEBP,1536x864,b038b5b81cd6b05f25bb4083deebdba9752fed594fe09380081cc44503c6240e,YA
mum46.webp,46,Fixative Solution,mum46.webp,OK,WEBP,1536x864,4f4b433ec486e9d6748da728aa156c4b7c2f232e72260a22447d77e46dac750b,TIDAK
mum47.webp,47,Staining Reagent,mum47.webp,OK,WEBP,1536x864,a2aeafca3d439952314097be6819352f693ad5ce3a159aaea7dd255e44aa93ed,TIDAK
mum48.webp,48,Enzyme Reagent,mum48.webp,OK,WEBP,1536x864,78fe089ca1b517afe8773e603d0f296ba808a0c2caae2e4d5ceabf68a3c687df,TIDAK
mum49.webp,49,Master Mix,mum49.webp,OK,WEBP,1536x864,d4e95ba35e5ec49f13c4cdad69eae2cde5332f1ec17bf24923b049a826588b33,TIDAK
mum50.webp,50,Primer,mum50.webp,OK,WEBP,1536x864,c362462f1c1ed5bb1c8a519a0a55d5a6565d0ebbf6576db8d6ecfe04571cabc1,TIDAK
mum51.webp,51,Probe,mum51.webp,OK,WEBP,1536x864,022859710ccd0f37d92d88565c40b9b8a2b5bded292db020f4a1cdc1ba737f6f,TIDAK
mum52.webp,52,DNA Ladder,mum52.webp,OK,WEBP,1536x864,5d2a7922a2f94c327fa4fdc74e463aaebaa562a5841d7a5d3f69ea8764ac3ba1,TIDAK
mum53.webp,53,RNA Ladder,mum53.webp,OK,WEBP,1536x864,ec359a93f49ebbe9c58907539892b058f563f10f5b077c4972eaad1123ffa8af,TIDAK
mum54.webp,54,Agarose,mum54.webp,OK,WEBP,1536x864,53adb9f91a250cef629c2a7d00a4a8413f8452c310f379c030a97f36a129b1d6,TIDAK
mum55.webp,55,SDS-PAGE Reagent,mum55.webp,OK,WEBP,1536x864,5d6a259a791bee94a7d3dc7180a45923877bfe980f8dc3067f21e61bdb1d7825,TIDAK
mum56.webp,56,Control Standard,mum56.webp,OK,WEBP,1536x864,168a5e0fb55d67c87b9b287b4707d3ece42872e1434c17c9f6d37b7a345bf673,TIDAK
mum57.webp,57,Calibrator,mum57.webp,OK,WEBP,1536x864,0bab99c3f4eeff47f67e44168947abf9fa0d1a04def831cfe5e7acfa72387311,TIDAK
mum58.webp,58,Nuclease-Free Water,mum58.webp,OK,WEBP,1536x864,facc08de7aae2cf1a59db0e41544c7b743435013fd95b0a67cfaee3afa6c8ec0,TIDAK
mum59.webp,59,PCR Master Mix,mum59.webp,OK,WEBP,1536x864,d5700041e8a2dea19b090e2b80c626a6ba1677cc351795e46412b151a17b14ea,TIDAK
mum60.webp,60,Reverse Transcriptase,mum60.webp,OK,WEBP,1536x864,9bffb6fa96bcbfb525d61aab3224024c1f762a84ee09ecd8298497cce2fe09fc,TIDAK
mum61.webp,61,Taq Polymerase,mum61.webp,OK,WEBP,1536x864,f68a8788a54986f86dc74119fd3d4e7d76200da3839f9ebc641465e623e596b6,TIDAK
mum63.webp,63,Restriction Enzyme,mum63.webp,OK,WEBP,1536x864,5d31ae24fbbdb2a39829552e2cf850c6d829ec053a5bac0c9fb29efd807aee50,TIDAK
mum64.webp,64,cDNA Synthesis Kit,mum64.webp,OK,WEBP,1536x864,fd95cdef9a2302a5108aab16e1074b550f6233b65ee1351c71a1c7dbb5090fd9,TIDAK
mum65.webp,65,Gel Extraction Kit,mum65.webp,OK,WEBP,1536x864,0f3eb7db4e1a9f9962fbe71e9af48bdeea79524581bcdcc369b0afda36d76d79,TIDAK
mum66.webp,66,Plasmid Mini Prep Kit,mum66.webp,OK,WEBP,1536x864,bf96196dea9c4954cf8a0323d8e89b50809e72cb8c2081775bd625955df60e88,TIDAK
mum67.webp,67,RNA Purification Kit,mum67.webp,OK,WEBP,1536x864,58d8c5579376a8357be355b7510d0cd865c485a036cb9704f83c8d5d8785dfce,TIDAK
mum68.webp,68,DNA Purification Kit,mum68.webp,OK,WEBP,1536x864,48674591f71719da93604ece3f58020c947d4030bc5bf3f35324a4247993b40c,TIDAK
mum69.webp,69,Microtube,mum69.webp,OK,WEBP,1536x864,16b602299c1357e6da40f37784adb1f7764fe3fe1fdf832dbd916a4528a4fb3f,TIDAK
mum70.webp,70,PCR Tube,mum70.webp,OK,WEBP,1536x864,48d1bebc52bae676b05a543e327eeeb8311446f164cd969a28d28e2e65334a5c,TIDAK
mum71.webp,71,Centrifuge Tube,mum71.webp,OK,WEBP,1536x864,63c4198ca0be0e3f8d95ebc07606be069508a7c7df62e9897ccf70c4fb84a688,TIDAK
mum73.webp,73,Pipette Tip,mum73.webp,OK,WEBP,1536x864,43e9c4674fd4db59f109e13db6944eede1a2e0a383c561d206ab3d5122751431,TIDAK
mum74.webp,74,Filter Tip,mum74.webp,OK,WEBP,1536x864,7f4aea3cbe5fa556e7a9346f52663a02958b19b12054531dc206fc9725c7ee95,TIDAK
mum75.webp,75,Petri Dish,mum75.webp,OK,WEBP,1536x864,48be7963b68bdf595887add731bca87a840f9e41582d1bceed6e0f896ea284da,YA
