file,id_html,nama_produk_html,img_di_html,status_file_vs_html,format,ukuran,sha256,revisi_klaim
mum76.webp,76,96-Well Plate,mum76.webp,OK,WEBP,1536x864,759fef6cddca67f72f0c15cfbe6ef9c595cdf36c17587c4c8d139e0d05a2d0e9,TIDAK
mum79.webp,79,Microscope Slide,mum79.webp,OK,WEBP,1536x864,3c91cc49947bedc61fa40194114408b3760ea762f5a4078a3b6d9dbf6d136f8d,TIDAK
mum80.webp,80,Cover Glass,mum80.webp,OK,WEBP,1536x864,bdda0ff8058f98ce8c2b1251b4036bed07c054a3fcbb32d5298b292f54d0d8cd,TIDAK
mum81.webp,81,Syringe Filter,mum81.webp,OK,WEBP,1536x864,0d6c4a702c8d93ad546081c5b75764e66770f6a5b8703eebd9e2c2bbce261517,TIDAK
mum82.webp,82,Membrane Filter,mum82.webp,OK,WEBP,1536x864,37b4fdcf821451c55e6e98d289353dadfef9b30831593b6cb8c4c9b34b196841,TIDAK
mum83.webp,83,Gloves,mum83.webp,OK,WEBP,1536x864,257bf1736aaadf46ee8e3ba9a398b8531501d0a131e8c43cfdf0c704dae075a4,TIDAK
mum84.webp,84,Masker Lab,mum84.webp,OK,WEBP,1536x864,c9521c48d4d6df6f5a6cb8a677912dfefb23a6b286ea0164b2d6ece085078a50,TIDAK
mum85.webp,85,Parafilm,mum85.webp,OK,WEBP,1536x864,dd77c271da39c44b090151d9a0733543ea00a01b0fe555192210372d989f5cbd,TIDAK
mum86.webp,86,Micropipette,mum86.webp,OK,WEBP,1536x864,49cf94664028f7904da22264881aed936c25a89e9f15e76af3926df557eb0caf,TIDAK
mum87.webp,87,Centrifuge,mum87.webp,OK,WEBP,1536x864,3b9098e198c817aa06177518344c1907b50c25b397d547c4cd431a81cff1fd2b,TIDAK
mum88.webp,88,Vortex Mixer,mum88.webp,OK,WEBP,1536x864,d98a5ac1df0414af71d2f5c38ca9bba87c0bcef09298304e5fe6131d54d4d257,TIDAK
mum90.webp,90,Water Bath,mum90.webp,OK,WEBP,1536x864,9d3f6b045c3feeaf66a78f88444a8c61fa1487c65816720c9155a26115ddeb13,TIDAK
mum91.webp,91,Incubator,mum91.webp,OK,WEBP,1536x864,74cb6d4d67ee4d3876504b66d0ef7b98c2e0cfbc59b0ba742c32d1ea098dc5d8,TIDAK
mum92.webp,92,CO2 Incubator,mum92.webp,OK,WEBP,1536x864,8a39c0e97b04bfcfa626edf93ef351aa9ed2d3467773ac96ddb1a9ea4fcb11ca,TIDAK
mum94.webp,94,Microscope,mum94.webp,OK,WEBP,1536x864,76a677dcfe86294dbea101b62973252ec740c0789d1890b3a6edcd1b80a18d81,TIDAK
mum95.webp,95,ELISA Reader,mum95.webp,OK,WEBP,1536x864,d9c7d122377a8f1af302dc274b4ce3c9edd51685185c89716105a82b36b906d2,TIDAK
mum97.webp,97,PCR Machine,mum97.webp,OK,WEBP,1536x864,7171e43182542100d679b5de847b1837b27a9137fc3eda1f2f75c699a62edb3f,TIDAK
mum99.webp,99,Gel Electrophoresis System,mum99.webp,OK,WEBP,1536x864,744e87757c483dc571a4f53d52ccc82956f0ab385c851a5fc961ef5553780ccc,TIDAK
mum100.webp,100,UV Transilluminator,mum100.webp,OK,WEBP,1536x864,ecdd50da1ea87f63b5012b3d2995d36911f1d8f0d21e397bf00ba2a3ab730589,TIDAK
mum101.webp,101,Biosafety Cabinet,mum101.webp,OK,WEBP,1536x864,9721d767d4d8d52440be9cda18e95be08b9715386373e03becbb4473489edccd,YA
mum102.webp,102,Laminar Air Flow,mum102.webp,OK,WEBP,1536x864,fb7f2d4e2f7e479528ef683dbf5d5d9b93ec30c91cddc9fc7b7643104b4ca315,YA
mum103.webp,103,Freezer -20Â°C,mum103.webp,OK,WEBP,1536x864,d509aca7ee8fcdcb0d3258eda5415a347601c8bcadc80b245dd328b8a8860346,TIDAK
mum104.webp,104,Freezer -80Â°C,mum104.webp,OK,WEBP,1536x864,26e8f395e53182a18c6c5a559501f60473125dded7d58f07eedeeb3251c3aff4,TIDAK
mum106.webp,106,Meja Laboratorium,mum106.webp,OK,WEBP,1536x864,95a11a4cc564cde3e5ef13ddd9f572d133332336742b764a75569d14daad89c9,TIDAK
mum107.webp,107,Meja Timbang,mum107.webp,OK,WEBP,1536x864,28c33c6a067cb74cbeabe004a24fdcbbd76ad938e6d3399f0c1d01626daeaedb,TIDAK
mum108.webp,108,Meja Island Lab,mum108.webp,OK,WEBP,1536x864,1e6162dab19178685c4843d9fe6692ea7e18525a55b8e8adb43b09c4b51f0ab7,TIDAK
mum109.webp,109,Meja Wall Bench,mum109.webp,OK,WEBP,1536x864,b9cf1fac0e918a1da46de69d2124632e3d791c0aa1f4c38e8145eba56d7f4931,TIDAK
mum110.webp,110,Lemari Asam / Fume Hood,mum110.webp,OK,WEBP,1536x864,90988de3df9d3a71c08c89f439db0802c18e7f06ca73af76d0373c5b65938dd9,TIDAK
mum111.webp,111,Lemari Reagen,mum111.webp,OK,WEBP,1536x864,efb5483be1eddb54b677c973dc9b57de87c265b7b5c89be4afc54345afc92dd9,TIDAK
mum112.webp,112,Lemari Bahan Kimia,mum112.webp,OK,WEBP,1536x864,80fbc338b6dd21719943535db53546bd8ca5799349cbe4eb998b18387526ad4a,TIDAK
mum113.webp,113,Lemari Alat Lab,mum113.webp,OK,WEBP,1536x864,5a46c15883ad8250cadafc2a6d78477bb1e7929ff8ebdffc3233158257e6e0a1,TIDAK
mum114.webp,114,Rak Tabung Reaksi,mum114.webp,OK,WEBP,1536x864,feb6cbefe7d3d386a3cfc812f58880d424af42d0089bbba6092db2b02c7416ba,TIDAK
mum115.webp,115,Kursi Lab,mum115.webp,OK,WEBP,1536x864,96e6a2ffee06f7bb3719bbf2d593bf547a22039066d5d293d6b73fdbecf19bcf,TIDAK
mum116.webp,116,Sink Lab,mum116.webp,OK,WEBP,1536x864,b4313c21ad6391f007e2e34d7d89fce1f4e7fdad98403ead6a80acb95f14ebfb,TIDAK
mum117.webp,117,Emergency Shower,mum117.webp,OK,WEBP,1536x864,917d2dfad12b7f4ebe5de5e2e73366cd0c9cbfe3b622d0aab454a1e7811d2750,TIDAK
mum118.webp,118,Eyewash Station,mum118.webp,OK,WEBP,1536x864,234cc1e4775115ecc9e4db89a3d1906adce77a912629524e8ae6bfbbcfe3f7e9,TIDAK
mum119.webp,119,Beaker Glass,mum119.webp,OK,WEBP,1536x864,ac72e514be08e2d5f7d7bbfc697c3e9072d02e62ae86d385e30276b1fb86e687,TIDAK
mum120.webp,120,Erlenmeyer Flask,mum120.webp,OK,WEBP,1536x864,e80049f5b3131918808779ff006cd2a2bce794d1860921e64105868f6399e9bd,TIDAK
mum121.webp,121,Measuring Cylinder,mum121.webp,OK,WEBP,1536x864,ed6d6627c7d35dcbcccf74e11a322a1be0df03d9d721fa93d6a395cc9000a323,TIDAK
mum122.webp,122,Volumetric Flask,mum122.webp,OK,WEBP,1536x864,60f1c1ac2607ab0f5a4fa3077252fe864ee07f0747812caa0e741f3052934f22,TIDAK
mum123.webp,123,Test Tube Glass,mum123.webp,OK,WEBP,1536x864,59bca338d8e14bffea714f03f9fb5f306502c2d06efeabb66ca28dc04744f091,TIDAK
mum124.webp,124,Glass Funnel,mum124.webp,OK,WEBP,1536x864,7b3bf054b88d5abbce536fc8ae84501ae96aa64009fbcd9489d5b5df61a55411,TIDAK
mum125.webp,125,Watch Glass,mum125.webp,OK,WEBP,1536x864,ba915e8b519694ec3b38a5e1e964a84aea974c9e7e5c4552d821ebe098ef50ee,TIDAK
mum126.webp,126,Glass Stirring Rod,mum126.webp,OK,WEBP,1536x864,8cb0207630c9f45e117bb72f8fb68e17f8308294aac44cd8dc68448444b5259a,TIDAK
mum127.webp,127,Reagent Bottle Clear Glass,mum127.webp,OK,WEBP,1536x864,4cdf5a2a92deb2c77376f5292707fccdf3c0f9cbe7384032ffcbbb61122eb4f4,TIDAK
mum128.webp,128,Reagent Bottle Amber Glass,mum128.webp,OK,WEBP,1536x864,6ddaedbc40c2bd438a55a0f95208b5952679d54b0b5a23f7a2a8388eeaf64b48,TIDAK
mum129.webp,129,Dropper Bottle Glass,mum129.webp,OK,WEBP,1536x864,a38bddcdce15969bf3c05d2904e53cadbf4531e8549a9fb89695e4952cd12ba8,TIDAK
mum130.webp,130,Burette,mum130.webp,OK,WEBP,1536x864,8dba06aefc70668833043109cd23b18be02a42477ae5ceabfe2b744d3554dc85,TIDAK
mum131.webp,131,Volumetric Pipette,mum131.webp,OK,WEBP,1536x864,72dc1fced8a0a7ad5e90fcce3cbf753b0c4d9d201e7b72cad5670d4d4e75afb1,TIDAK
mum132.webp,132,Pasteur Pipette Glass,mum132.webp,OK,WEBP,1536x864,5fa8f7f012870a69fc5f914e51d33aba0168411ba46bcc67c26cc70b478cc534,TIDAK
mum133.webp,133,Desiccator Glass,mum133.webp,OK,WEBP,1536x864,4dc916b724c403f04373ba3b18356ae5f830b926bf4af2ae27fcb6e08efd637e,TIDAK
mum134.webp,134,Sample Cup,mum134.webp,OK,WEBP,1536x864,fa500f7eb6aeb0099ad3b33f9dc8fe1bb84b68eb88253dbeb1e8a025df2dc257,TIDAK
mum135.webp,135,Reagent Reservoir,mum135.webp,OK,WEBP,1536x864,42bbc777c77a820a15e4ec3e18fdd872223cec5590928034996ff84b406ba334,TIDAK
mum136.webp,136,Serological Pipette,mum136.webp,OK,WEBP,1536x864,26d946e88c92555e3ff7782a1ad5b8b5286803fb84aa354448ce2e7bb59f6bda,YA
mum137.webp,137,Pasteur Pipette Plastic,mum137.webp,OK,WEBP,1536x864,5f4fb275c1c6fcfdeef96f2b96a60c6834a5ac88220f3d4db25a43269b0a45c7,YA
mum138.webp,138,Transfer Pipette,mum138.webp,OK,WEBP,1536x864,00598154360d28ce985f2d66fcad337678d69508031c80c2e6d2d7d25d33445e,TIDAK
mum139.webp,139,Inoculating Loop,mum139.webp,OK,WEBP,1536x864,537e83c1bd58f7ad7d132c51f71957db247dcf9c95ed7b59b27b3eb264a54fef,TIDAK
mum140.webp,140,Spreader L-Shape,mum140.webp,OK,WEBP,1536x864,aca6d899987b7a890dec83828124a207e956980ce44b4b911263dbe688a305ca,TIDAK
mum141.webp,141,Weighing Boat,mum141.webp,OK,WEBP,1536x864,f80f6e9efa4d2ac588da7517a6f3f26a53119d2a0203683f0777d30efa04c020,TIDAK
mum142.webp,142,Weighing Paper,mum142.webp,OK,WEBP,1536x864,a5c648be10d05c17da37881b29183bd7a51ba6eaa79545474c83dc48940921c9,TIDAK
mum143.webp,143,Sample Bag,mum143.webp,OK,WEBP,1536x864,af69d7808a6dfe8786d0824ebf2af98405b4c39eee0ec8c27eda0d547ca11300,TIDAK
mum144.webp,144,Ziplock Sample Bag,mum144.webp,OK,WEBP,1536x864,f41cefd1ff791ddf4b5f151960682d40ce62084d660f5cc5154a529df3c01d62,TIDAK
mum146.webp,146,Slide Box,mum146.webp,OK,WEBP,1536x864,0b82738ea5641a49ac85a59dc46e7bd39b7b957fb0baf305b00113bf3bcff786,TIDAK
mum147.webp,147,Tube Rack Plastic,mum147.webp,OK,WEBP,1536x864,38013c294915e42f09214c94661086330023667462d0c39d1639bb851abab545,TIDAK
mum149.webp,149,PCR Tube Rack,mum149.webp,OK,WEBP,1536x864,62f84aa2e3fc011dcac52babc91e2d92a18a8c19b3dddec7318e82b406821f83,TIDAK
mum150.webp,150,Cryobox,mum150.webp,OK,WEBP,1536x864,e1082812fdce7e5f456ea013ac562d466ead66f08ca82b10e8f0d9b2c3a60da0,TIDAK
mum151.webp,151,Pipette Stand,mum151.webp,OK,WEBP,1536x864,34342e283407318059144f8c30b89d461b8475c1ba3218ae8eabffb499260112,TIDAK
mum152.webp,152,Analytical Balance,mum152.webp,OK,WEBP,1536x864,77c986e96cd489083473b8b09f3e2b0a5f11c4e0df853202ca8a34a924da1b5c,TIDAK
mum153.webp,153,Precision Balance,mum153.webp,OK,WEBP,1536x864,867afede4cfe8d2a7dc2b10eb7c8d8b992d0b481f69ff054f6fa0010e9983cd9,TIDAK
mum155.webp,155,pH Meter,mum155.webp,OK,WEBP,1536x864,bd2718cede62ca91c5dc49e5067e0056a8e1d21fbd7106a6a4a81a4d48d9852c,TIDAK
mum160.webp,160,Thermometer Digital,mum160.webp,OK,WEBP,1536x864,f6eb620e9e711910a633bf2dca5073bfde796c5a5569061805b66a259cc0df01,TIDAK
mum161.webp,161,Hygrometer,mum161.webp,OK,WEBP,1536x864,7210f04a369e7933729e8458a6282aa04f961e8ce179a1ca786ce306aeab53a5,TIDAK
